,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Klra13-ps,0,0,0,0,0,0,1,0,2,1,5,1,1,1,0,0
Klra9,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Klra1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Klra7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
Gm52487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Klra8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm24676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra4,1288,1942,1603,1547,611,670,950,655,845,832,750,828,288,279,281,511
Klra6,21,57,38,38,11,12,17,17,27,21,39,37,14,12,5,17
Gm15854,6,12,9,4,7,7,5,2,18,16,18,15,8,6,4,16
Klra5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,10
Gm23977,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
Klra17,0,0,0,0,0,0,0,0,18,46,33,17,32,21,20,39
Klrh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klri2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Klri1,3,9,5,4,0,1,4,1,1,1,4,2,3,0,0,10
Klrc1,1,1,3,0,3,5,4,6,15,14,4,13,11,4,7,12
Klrc3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tcf19,993,1090,1153,1124,1064,1341,1340,1357,1377,1329,1191,1177,1732,1980,1648,2778
Pou5f1,1,0,1,1,1,1,5,2,1,3,1,1,4,7,4,6
Skiv2l-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr410,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Olfr407-ps1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Olfr406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr404-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Olfr402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr401,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Olfr400-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12331,0,1,3,3,2,0,1,1,1,3,1,0,0,1,0,3
Olfr22-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr23,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
Olfr388-ps1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Olfr387-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr376,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Olfr20,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
Spata22,13,14,23,16,19,8,15,4,14,12,13,24,21,22,7,16
Aspa,42,63,63,52,40,46,37,42,34,20,27,20,29,34,29,58
Trpv3,10,10,11,6,6,3,6,11,1,4,0,3,7,5,3,1
Trpv1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
Gm16021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shpk,30,44,47,48,88,77,78,78,116,84,101,70,169,193,172,281
Ctns,406,538,492,375,620,582,522,510,590,586,558,520,743,805,740,1250
Tax1bp3,1822,1901,1921,1949,2257,2212,2355,2458,1828,1571,1536,1390,2350,2638,2424,3828
Emc6,2750,3070,2970,2996,2753,2936,3205,3159,2935,2842,2696,2419,3431,3784,3279,5669
P2rx5,15,21,38,30,35,24,37,21,47,39,45,46,30,25,27,52
Gm35001,10,8,7,4,9,11,8,4,12,12,8,7,17,1,12,21
Haspin,750,889,914,875,788,801,886,854,854,865,834,782,929,920,962,1427
Itgae,37,34,57,41,35,57,37,40,67,82,78,71,73,68,63,110
Ncbp3,2259,2648,2630,2447,2274,2619,2599,2578,2292,1969,2065,1948,2224,2458,2269,3758
Camkk1,353,410,417,408,357,416,427,372,261,239,192,189,292,324,305,504
4732414G09Rik,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,1
P2rx1,0,0,0,0,2,0,1,0,1,1,0,1,0,2,1,0
Atp2a3,183,254,225,212,218,238,254,221,4911,5254,5098,4539,5340,5774,5301,7879
Gm34793,1,1,7,0,1,3,5,0,0,0,0,0,1,1,1,1
Gm34704,1,0,1,1,1,1,0,1,4,0,4,1,6,1,3,0
Zzef1,2575,3196,3419,2950,3276,3531,3233,3079,3949,4070,3961,3727,4239,4337,3920,5975
Nlrp1c-ps,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nlrp1b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nlrp1a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm15377,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm12321,0,0,0,1,1,0,0,2,0,0,3,1,1,2,0,0
6330403K07Rik,20,35,53,19,35,48,31,26,33,35,50,47,37,40,40,70
Mis12,1697,2005,2199,1837,1570,1750,1930,1641,1840,1645,1577,1496,1671,1677,1473,2569
Derl2,2669,2969,3000,2837,2762,2868,3094,2878,2897,2569,2628,2521,2765,3187,2908,4651
Gm22297,0,0,2,0,1,0,3,0,2,0,0,3,0,3,1,0
Dhx33,2142,2542,2726,2209,2235,2257,2530,2251,2451,2469,2412,2377,2346,2379,2152,3581
C1qbp,9532,11427,11239,11133,8766,8954,10264,9877,7627,7114,7047,6662,6856,7735,6940,10832
Rpain,415,582,475,512,467,487,529,574,600,536,535,510,550,556,481,890
Nup88,7755,9498,9195,8687,8397,8748,9466,8813,9577,8897,8618,8345,7819,8353,7648,12569
Gm12322,11,13,16,6,9,5,3,6,8,4,10,2,1,1,5,12
Rabep1,5763,7599,6995,6108,5603,6084,6295,5515,6432,6123,5988,5834,4617,4746,4103,7222
Scimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zfp3,210,354,289,261,316,269,295,266,256,268,265,218,237,273,235,415
Gm51884,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Gm12320,7,2,4,6,5,11,9,6,3,0,0,4,4,1,0,5
Kif1c,11889,14100,14737,13235,14093,14932,15155,14876,11738,11329,10747,10406,10993,12298,11491,16828
Inca1,104,151,121,114,189,175,152,153,88,64,76,69,64,58,38,119
Camta2,1269,1891,1911,1625,1819,1893,1773,1773,2082,2235,2083,2072,1608,1767,1662,2441
Spag7,3143,3649,3575,3572,3153,3229,3552,3243,2411,2027,1936,1844,2557,2846,2438,4112
Eno3,4098,5447,4787,4644,4436,4342,4841,4653,4345,4326,4120,3958,2935,2890,3051,5015
Pfn1,29052,30837,31664,31898,28050,30887,33811,33688,23364,20945,20750,18984,22515,25373,23917,37414
Rnf167,1208,1521,1438,1270,1575,1613,1557,1467,1351,1322,1359,1269,1448,1466,1374,2250
Slc25a11,3442,3792,3793,3707,3994,4020,4198,4429,3613,3358,3304,2961,3591,4081,3726,5776
Gp1ba,58,114,117,74,104,90,104,97,194,206,207,221,190,177,181,290
Gm12315,6,8,13,6,12,9,18,19,29,30,25,29,40,28,26,55
4930544D05Rik,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Chrne,0,0,0,2,0,2,2,0,0,0,4,2,1,0,0,1
Gm51905,8,12,11,2,4,8,10,6,21,19,20,12,2,7,1,20
Mink1,4563,6209,6089,5599,6435,6805,6445,6350,7482,7697,7403,6871,6849,7105,6648,10450
Pld2,1340,1908,1710,1510,1335,1317,1343,1196,1703,1624,1647,1431,648,637,573,1073
Gm40193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psmb6,5150,5963,5660,5894,5259,5436,6057,6156,4624,4107,4199,3781,4802,5604,5130,8121
Gltpd2,0,2,1,3,1,7,5,1,1,0,0,0,3,1,1,2
Vmo1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Tm4sf5,3,6,1,2,33,21,18,18,27,21,36,25,123,163,143,177
