,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smim8,189.0872447,0.48416441,0.091736732,5.277759498,1.31E-07,7.66E-06
D330023K18Rik,59.56351908,0.63744867,0.120877,5.273531509,1.34E-07,7.82E-06
Pyurf,1182.151679,0.559906654,0.106352081,5.264651625,1.40E-07,8.19E-06
Tm9sf1,2551.450913,-0.507530156,0.096442488,-5.262516215,1.42E-07,8.27E-06
Tmed4,5094.584624,0.312290272,0.059360997,5.260866315,1.43E-07,8.32E-06
Acox2,569.1893035,1.222148766,0.232425608,5.258236291,1.45E-07,8.42E-06
Ttc39a,762.7133466,0.525857284,0.100015437,5.257761214,1.46E-07,8.42E-06
Ifitm3,23.25492836,-1.932913091,0.367795745,-5.25539819,1.48E-07,8.51E-06
Oas2,26.30449196,-2.565302153,0.488204789,-5.254561637,1.48E-07,8.52E-06
Gm6809,257.5548256,0.55906282,0.106432202,5.252760049,1.50E-07,8.59E-06
Map3k5,4435.319473,0.263894146,0.050293932,5.247037529,1.55E-07,8.84E-06
Tada1,1028.819395,0.293389976,0.055936686,5.245036809,1.56E-07,8.91E-06
Wdr5,5616.686951,-0.20305414,0.038727329,-5.243174442,1.58E-07,8.97E-06
Nfxl1,2594.936392,-0.206513029,0.039389408,-5.242856947,1.58E-07,8.97E-06
Ttc22,6.020931418,2.400253516,0.457947168,5.241332807,1.59E-07,9.02E-06
Muc1,780.4730708,1.049063314,0.200263115,5.238425029,1.62E-07,9.14E-06
Dpy19l1,2546.329727,-0.270899172,0.051717488,-5.238057384,1.62E-07,9.14E-06
Lcat,115.1013135,-0.89362714,0.17063794,-5.236978026,1.63E-07,9.17E-06
Vps53,2212.541177,0.449992687,0.085949028,5.235576206,1.64E-07,9.22E-06
Igfals,9.565330029,2.703433637,0.516586579,5.2332634,1.67E-07,9.31E-06
Tbc1d16,3272.494063,-0.316710353,0.060545186,-5.230974985,1.69E-07,9.41E-06
Syne3,1756.483608,-0.482912907,0.092325697,-5.230536256,1.69E-07,9.41E-06
Nkain1,2522.244246,-0.297361225,0.056857898,-5.229901802,1.70E-07,9.41E-06
Luc7l,4258.539523,-0.30944748,0.059172804,-5.229555747,1.70E-07,9.41E-06
Grn,6990.083501,0.53681207,0.102735589,5.225181209,1.74E-07,9.61E-06
Cog5,1217.693224,-0.350544287,0.067094736,-5.224616857,1.75E-07,9.62E-06
BC004004,1310.012563,0.365347647,0.069933407,5.224222045,1.75E-07,9.62E-06
Sphk1,178.6618397,-0.666578608,0.127721955,-5.218982176,1.80E-07,9.87E-06
Phc2,9897.841784,-0.200547381,0.0384314,-5.21832099,1.81E-07,9.88E-06
Cpe,14068.50099,-0.240858949,0.046215993,-5.211593077,1.87E-07,1.02E-05
Sox4,22826.37975,0.288856319,0.055443979,5.209877109,1.89E-07,1.03E-05
Zbed4,967.2513709,-0.235125426,0.045132555,-5.209663524,1.89E-07,1.03E-05
Prrg4,698.2077469,0.541906953,0.104415402,5.189913952,2.10E-07,1.14E-05
Cpne2,3609.100585,-0.328965673,0.063395394,-5.189109956,2.11E-07,1.14E-05
Atg5,1710.130687,0.293569365,0.056730104,5.174842671,2.28E-07,1.23E-05
Pltp,193.171692,-0.925746394,0.178931654,-5.173742998,2.29E-07,1.24E-05
Yipf4,3780.403605,0.215193748,0.041613632,5.17123212,2.33E-07,1.25E-05
Mtmr1,1434.382552,0.32033948,0.061991858,5.167444363,2.37E-07,1.27E-05
Gpr27,36.73017917,-0.95705743,0.185513285,-5.158969777,2.48E-07,1.33E-05
P3h3,540.7817959,-0.655327734,0.127027814,-5.158931054,2.48E-07,1.33E-05
E2f7,1674.062221,-0.244124955,0.047554184,-5.133616702,2.84E-07,1.51E-05
Cds2,7425.569389,-0.228806962,0.044618254,-5.128102063,2.93E-07,1.55E-05
Tsacc,110.9349371,0.528816249,0.103189768,5.124696585,2.98E-07,1.58E-05
